,did,tool_name,api_name,instruction,type,label
0,40,airports,get_airport_by_iata_code,Can you tell me more information about the airport?,3,1
1,41,airports,get_airport_by_iata_code,I want to know more about Hong Kong International Airport.,3,1
2,42,airports,get_airport_by_iata_code,What is the information of Beijing International Airport?,3,1
3,43,airports,get_airport_by_iata_code,Can you give me the local time of an airport?,3,1
4,45,airports,get_airport_by_iata_code,Could I know the location of the airport?,3,1
5,46,airports,get_airport_by_iata_code,What's the information about Frankfurt airport in Germany?,3,1
6,47,airports,get_airport_by_iata_code,Is Los Angeles International Airport a large or small airport?,3,1
7,48,airports,get_airport_by_iata_code,How many gates does the airport have?,3,1
8,50,airports,get_airport_by_icao_code,Can you tell me the location of an airport?,3,1
9,54,airports,get_airport_by_icao_code,Can you provide me with information about an airport?,3,1
10,57,airports,get_airport_by_icao_code,How can I find the details of an airport nearby?,3,1
11,59,airports,get_airport_by_icao_code,What are the airport facilities available?,3,1
12,75,bing_search_apis,images_search,"I'd like to search for some images, can you help me?",3,1
13,76,bing_search_apis,images_search,"Can you find some pictures for me, please?",3,1
14,77,bing_search_apis,images_search,"I'm interested in looking at some images, can you assist me with that?",3,1
15,78,bing_search_apis,images_search,Can you find some interesting images for me?,3,1
16,81,calculator,calculate,Can you help me solve this equation?,3,1
17,82,calculator,calculate,I need the answer to this arithmetic question.,3,1
18,83,calculator,calculate,What's the outcome of this mathematical expression?,3,1
19,84,calculator,calculate,Can you assist me in finding the solution to this problem?,3,1
20,85,calculator,calculate,What is the value of this operation?,3,1
21,86,calculator,calculate,I need help with computing this formula.,3,1
22,87,calculator,calculate,Can you evaluate this math equation for me?,3,1
23,88,calculator,calculate,I want to know the result of this calculation.,3,1
24,89,calculator,calculate,Can you find the solution to this mathematical issue?,3,1
25,106,calendar,display_calendar_of_month,Display the calendar of a certain month.,3,1
26,107,calendar,display_calendar_of_month,Show me the number of weekends in a month.,3,1
27,109,calendar,display_calendar_of_month,What is the start day of the month?,3,1
28,120,currency_exchange,exchange,How much do I get for 100 USD in another currency?,3,1
29,121,currency_exchange,exchange,What's the exchange rate from Euro to another currency?,3,1
30,122,currency_exchange,exchange,"I want to exchange my British Pounds, what's the rate?",3,1
31,126,currency_exchange,exchange,Can you tell me the current exchange rate?,3,1
32,128,currency_exchange,exchange,I want to understand how much I get when I exchange money. ,3,1
33,130,geocoding_by_api_ninjas,v1_geocoding,Can you tell me the coordinates of the cities in China?,3,1
34,131,geocoding_by_api_ninjas,v1_geocoding,I need to know the coordinates of the main cities in India.,3,1
35,132,geocoding_by_api_ninjas,v1_geocoding,What are the coordinates of the cities in the United States?,3,1
