,did,tool_name,api_name,simi_apis,instruction,type,label,explain
0,10,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",What's the current local time and date right now?,2,1,
1,11,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",What day of the week is it today?,2,1,
2,12,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages","Can you tell me the exact time, date, and day of the week right now?",2,1,
3,13,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",What's the current time and day today?,2,1,
4,14,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",Can you provide me the current time along with today's date?,2,1,
5,15,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",What is today's date and the day of the week?,2,1,
6,16,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",Could you please tell me the exact local time and today's date?,2,1,
7,17,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",Please let me know the current time and which day of the week it is today.,2,1,
8,18,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages","Can you give me the precise local time, date, and day today?",2,1,
9,19,agent_equipments,get_current_time,"agent_equipments##get_my_location
calendar##days_of_month
skyscanner80##get_config
public_holiday##public_holidays
tourist_attraction##languages",What's the current time and what day is it today?,2,1,
10,30,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail",Can you tell me the information about Shenzhen Bao'an International Airport?,2,1,
11,31,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail","I need details about Hong Kong International Airport, can you lookup?",2,1,
12,32,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail",What can you tell me about Beijing Daxing International Airport?,2,1,
13,33,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail",I would like to know about Shanghai Pudong International Airport.,2,1,
14,34,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail",Can you provide me with details on Chengdu Shuangliu International Airport?,2,1,
15,35,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail",What can you tell me about Guangzhou Baiyun International Airport?,2,1,
16,36,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail","I need to know about Hangzhou Xiaoshan International Airport, could you please look it up for me?",2,1,
17,37,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail",Can you check for Kunming Changshui International Airport?,2,1,
18,38,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail","I need information on Nanjing Lukou International Airport, could you provide?",2,1,
19,39,airports,query_airports_by_name,"skyscanner80##flights_auto_complete
airports##get_airport_by_icao_code
skyscanner80##hotels_hotel_auto_complete
airports##get_airport_by_iata_code
skyscanner80##hotels_hotel_detail",Can you lookup for Xi'an Xianyang International Airport?,2,1,
20,40,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","What is the location of airport with IATA code ""SZX""?",2,1,
