,Tool,API,Prompt,Type
0,public_holiday,public_holidays,Which countries usually have more public holidays?,1
1,,,Can private companies in China set their own holiday schedules?,1
2,,,Is Golden Week a public holiday in all parts of China?,1
3,,,How does the public holiday system in America differ from the one in China?,1
4,,,Are there any universal holidays observed by all countries around the world?,1
5,,,Is it necessary for companies to pay overtime wages for employees who work on public holidays?,1
6,,,How does the British public holiday system work?,1
7,,,Do all industries in the United States follow the same public holiday schedule?,1
8,,,How do people in India typically spend their national holidays?,1
9,,,Is Christmas day a public holiday worldwide?,1
