,Tool,API,Prompt,Type
0,public_holiday,public_holidays,When are the public holidays in China for this year?,3
1,,,Can you tell me the public holidays in the United States?,3
2,,,List the holidays for Spain in 2024.,3
3,,,When are the public holidays for 2025?,3
4,,,What were the public holidays in 2022?,3
5,,,Were there any bank holidays in 2020?,3
6,,,When are the public holidays?,3
7,,,Can you show me the bank holidays?,3
8,,,I want to know the holidays.,3
9,,,What are the important dates to remember this year?,3
