,Tool,API,Prompt,Type
0,recipe_by_api_ninjas,v1_recipe,How do you make Kung Pao Chicken?,3
1,,,Can I see the recipe for the beef in oyster sauce?,3
2,,,Do you have any cooking ideas?,3
3,,,"I want to cook something new, what do you suggest?",3
4,,,What should I cook today?,3
5,,,Could you recommend me some dishes to cook?,3
6,,,Any recipe suggestions for tonight's dinner?,3
7,,,What can I cook with these ingredients? ,3
8,,,"I'm not sure what to cook, do you have any recommendations?",3
9,,,Can you give me some recipes for me to try out? ,3
