,Tool,API,Prompt,Type
0,skyscanner80,get_config,What are the best hotel options in Shenzhen for a 3-night stay starting from 2024-3-27?,2
1,,,Can you find affordable flight tickets from Shenzhen to Beijing on 2024-4-15?,2
2,,,Are there any budget-friendly hotel options in Shanghai for a 4-night stay from 2024-5-10 to 2024-5-14?,2
3,,,What are the cheapest rental car options in Shenzhen for a 2-day trip starting on 2024-4-5?,2
4,,,Which airlines offer the best deals for flights from Shenzhen to Tokyo on 2024-6-20?,2
5,,,Can you recommend top-rated hotels in Guangzhou for a 5-night stay starting from 2024-8-1?,2
6,,,I'm looking for the most cost-effective flight options from Shenzhen to Hong Kong on 2024-7-10.,2
7,,,What are some affordable hotel options in Macau for a 2-night stay starting from 2024-9-15?,2
8,,,Are there any direct flights from Shenzhen to New York on 2024-10-20 that fit my budget?,2
9,,,Can I find a budget-friendly rental car in Shenzhen for a 3-day trip starting on 2024-12-28?,2
10,,flights_auto_complete,Can you help me find out the airports in Beijing?,2
11,,,What are the airports available in London?,2
12,,,Are there any airports accessible in Tokyo for my visit?,2
13,,,"I want to travel to New York, could you list me the airports there?",2
14,,,Which airport should I go to if I want to land in Sydney?,2
15,,,"I'm planning my trip to Paris, do you know what airports are there?",2
16,,,I need to know the airports in Los Angeles for my upcoming business trip.,2
17,,,Can you provide information about airports in Singapore?,2
18,,,"I've got a sudden trip to Berlin, can you tell me about the airports there?",2
19,,,"I am organizing a trip to Moscow, could you please tell me what airports are there?",2
20,,flights_search_one_way,I'm planning to fly from Beijing to Shenzhen on 2024-04-10. Can you find me a one-way flight?,2
21,,,Can you help me search for a one-way flight from New York City to London departing on 2024-06-01 for 2 adults and 1 child?,2
22,,,"I'm looking for a one-way flight from Sydney, Australia to Paris, France, with the departure date set for 2024-07-15. Can you assist me?",2
23,,,I am traveling alone from Shanghai to Tokyo and will depart on 2024-08-08. Can I know the available flights?,2
24,,,"I need to find a one-way flight from Bangkok to Singapore for 2 adults, 1 child, and 1 infant departing on 2024-05-10, can you help me look it up?",2
25,,,Can you find a one-way flight from Seoul to Beijing for 3 adults departing on 2024-12-24 in the first class cabin?,2
26,,,Can you find a one-way business class flight from Frankfurt to Madrid departing on 2024-06-15 for 4 adults?,2
27,,,"I'm traveling from Toronto to Vancouver with my family including 2 adults and 2 children, departure date is 2024-07-24. What flights are available?",2
28,,,"I need a one-way flight from Athens to Rome for 1 adult and 1 infant, departing on 2024-05-30. Can you help me find one?",2
29,,,I'm planning a trip from Dublin to London on 2024-09-15 for 2 adults. Can you find me flights?,2
30,,flights_search_roundtrip,"Can you help me find a round trip flight from Shenzhen to Beijing departing on 2024-04-01 and returning on 2024-04-07, for two adults and one infant?",2
31,,,"I'm looking to book a round trip flight in premium economy class from Shanghai to Tokyo, leaving on 2024-04-10 and coming back on 2024-04-20, just for me. Can you help me with that?",2
32,,,What are my flight options for a round trip from Guangzhou to Sydney departing on 2024-05-01 and returning on 2024-05-18 for one adult and two children?,2
33,,,"I want to book a round trip flight in first class from Beijing to New York, leaving on 2024-06-01 and coming back on 2024-06-20. It's for me and my wife. Can you help me find options?",2
34,,,Can you help me find a round trip flight from Shenzhen to London departing on 2024-07-01 and returning on 2024-07-14 for three adults and provided with the currency option?,2
35,,,"I wish to book a round trip flight in business class from Shanghai to Dubai, leaving on 2024-08-01 and coming back on 2024-08-10 for me. Can you help me with that and provide options in my local language?",2
36,,,What are my flight options for a round trip from Beijing to Paris departing on 2024-09-01 and returning on 2024-09-20 for two adults and one child? Can you provide the results in Chinese market context?,2
37,,,"I'm interested in booking a round trip flight from Guangzhou to Singapore, leaving on 2024-10-01 and coming back on 2024-10-10, for me and my two children, considering local market and currency. Can you assist?",2
38,,,"Can you help me find a round trip flight from Shenzhen to Seoul departing on 2024-11-01 and returning on 2024-11-07, for two adults, one child, and one infant, in my local market context and language?",2
39,,,"Can you provide me with a round trip flight option from Beijing to Melbourne departing on 2024-12-01 and returning on 2024-12-20, for an adult in first class, considering the local market and currency?",2
40,,flights_search_everywhere,I want to go on a trip from Shenzhen on 2024-04-05 but I'm not sure where to. Can you help me find flights?,2
41,,,"I'm planning a holiday from Beijing with my wife and 2 kids, departing on 2024-07-10. Can you find flights for us?",2
42,,,"From Shenzhen, I want to travel in business class on 2024-09-20, can you check the flights for me?",2
43,,,Can you find flights departing from Hong Kong in first class on 2024-11-25 for me and my wife?,2
44,,,My friend and I want to go on an adventure from Guangzhou but we don't know where to go. We will depart on 2024-12-30. Can you help us find some flights?,2
45,,,"I'm planning a trip from Shenzhen with my wife and 3 kids, we want to depart on 2024-05-01. Can you help us find flights?",2
46,,,"My 2 friends and I want to make a surprise trip from Shanghai, we have no idea where we will go, and we plan to depart on 2024-08-01. Could you help us with that?",2
47,,,I'm from Taipei and I want to plan a free travel destination. We want to leave on 2024-10-10. Can you help me find flights?,2
48,,,"I plan to travel from Beijing with my pet and 2 children on 2024-07-15, pretend I don't care about the destination. Can you find flights for us?",2
49,,,Can you help me and my wife find premium economy flights from Shenzhen on 2024-05-25 to anywhere unknown?,2
50,,flights_search_incomplete,Can you show me the complete flight details for the sessionId $SESSION_ID while using USD as the currency and viewing from the US market in English?,2
51,,,"Using the sessionId $SESSION_ID, can you provide more information on the flights while displaying prices in RMB and setting the market as Chinese in Simplified Chinese?",2
52,,,"I have a sessionId $SESSION_ID from a previous flight search. Can you give me complete flight information with prices in EUR, and the market set to France in French?",2
53,,,"How can I obtain complete data for sessionId $SESSION_ID with prices in GBP, the market set to the UK, and the language set to English?",2
54,,,"Can you provide the complete flight data for the sessionId $SESSION_ID using Japanese Yen as the currency, Japan as the market, and displaying the information in Japanese?",2
55,,,"Using sessionId $SESSION_ID for my flight search, please give me complete flight information with prices in CAD, market set to Canada, and the language set to English.",2
56,,,"Based on the sessionId $SESSION_ID, can you show me the full flight details in AUD with Australian market settings and English as the chosen language?",2
57,,,"I have a sessionId $SESSION_ID from an earlier flight search, please provide me the complete flight data using Indian Rupees as the currency, setting the market to India, and displaying the information in Hindi.",2
58,,,"Can you show complete flight details for sessionId $SESSION_ID using Korean Won as the currency, setting the market to South Korea, and displaying the information in Korean?",2
59,,,"For sessionId $SESSION_ID, please provide me with the complete flight information, with the prices shown in Mexican Pesos, the market set to Mexico, and the language set to Spanish.",2
60,,flights_flight_detail,Can you tell me the details of the flight with itineraryId $ITINERARYID and token $TOKEN searching on skyscanner.com in USD currency and US market with locale set as en-US?,2
61,,,"I need information about a flight on skyscanner, the itineraryId is $ITINERARYID and the token is $TOKEN. Can you provide the details about this flight using USD as the currency, US market, and en-US locale?",2
62,,,"What are any specific details about the flight having itineraryId $ITINERARYID and token $TOKEN on skyscanner.com? I am searching with the currency set to USD, market set to the US, and the locale set as en-US.",2
63,,,"Can you help me get the detailed information for a flight on skyscanner.com with itineraryId $ITINERARYID and token $TOKEN while using USD as the currency, US as the market, and en-US as the locale?",2
64,,,"I am looking up a flight on skyscanner.com with itineraryId $ITINERARYID and token $TOKEN, and I'd like to see its details in USD and for the US market with the en-US locale. Can you provide that information?",2
65,,,"I'd like to find more details about the flight listed on skyscanner.com with itineraryId $ITINERARYID and token $TOKEN. Please search using USD currency, the US market, and en-US locale.",2
66,,,"Please show me the details for the flight with itineraryId $ITINERARYID and token $TOKEN on skyscanner.com. Make sure to search with USD as the currency, the US market, and en-US locale.",2
67,,,"I need to know more about a specific flight on skyscanner.com. Its itineraryId is $ITINERARYID and the token is $TOKEN. Could you look it up using USD currency, the US market, and en-US locale settings?",2
68,,,"What can you tell me about the flight listed on skyscanner.com with itineraryId $ITINERARYID and token $TOKEN if I search for it using USD currency, the US market, and en-US locale settings?",2
69,,,"I'm trying to find out more information about a flight with itineraryId $ITINERARYID and token $TOKEN on skyscanner.com. Can you help me search for it using USD currency, the US market, and en-US locale settings?",2
70,,flights_price_calendar,Can I see the flight price calendar from Shenzhen to Beijing for the departure on 1st May 2024 and return on 7th May 2024?,2
71,,,"I am planning a round trip from Shanghai to Tokyo, departing on 10th April 2024, and coming back on 17th April 2024, can you show me the price calendar?",2
72,,,"I want to know the price differences for flights from Guangzhou to New York, departing on 25th June 2024 and returning on 10th July 2024.",2
73,,,Can you show the price calendar for the flights from Hong Kong to London for the departure on 15th August 2024 and return on 29th August 2024?,2
74,,,"I would like to view the prices for flights from Xi'an to Paris, departing on 18th July 2024 and returning on 30th July 2024.",2
75,,,"Can I see the flight price calendar from Taipei to Sydney, with my departure on 2nd September 2024 and my return on 16th September 2024?",2
76,,,"Can you provide the price calendar for flights from Chengdu to Amsterdam, departing on 21st October 2024 and returning on 5th November 2024?",2
77,,,"Can I check the prices for flights from Hangzhou to Moscow, departing on 13th December 2024 and returning on 27th December 2024?",2
78,,,"I need the prices for roundtrip flights from Nanjing to Rome, I am leaving on 7th November 2024 and coming back on 21st November 2024.",2
79,,,"Could you display the price calendar for flights from Wuhan to Madrid, if I depart on 16th May 2024 and return on 30th May 2024?",2
80,,hotels_hotel_auto_complete,What are some hotel options in Beijing?,2
81,,,Can you suggest a list of hotels in Tokyo for my trip?,2
82,,,"I am planning to visit London, what are the hotels available there?",2
83,,,Are there any hotels near Disneyland in Paris?,2
84,,,Can you find some hotel options in San Francisco for my upcoming trip?,2
85,,,What hotels can I choose from in New York City?,2
86,,,"I'm looking for a list of hotels in Sydney, Australia.",2
87,,,"What are some hotel choices in Rome, Italy?",2
88,,,"Can you find some hotels for me in Seoul, South Korea?",2
89,,,"What hotels are available in Bangkok, Thailand?",2
90,,hotels_search,What are some hotels are available in Beijing from 2024-04-12 to 2024-04-15?,2
91,,,Can you recommend me some hotels in Tokyo for my stay from 2024-05-10 to 2024-05-14?,2
92,,,Which hotels can I choose from in Hong Kong when I visit from 2024-07-20 to 2024-07-25?,2
93,,,I'm planning a trip to Paris. What hotels are available from 2024-08-10 to 2024-08-17?,2
94,,,Help me find hotels in New York City for my trip from 2024-09-10 to 2024-09-15.,2
95,,,"I'll be in London from 2024-10-01 to 2024-10-07, can you find me some hotels to stay in?",2
96,,,Recommend me hotels in San Francisco for my vacation from 2024-12-01 to 2024-12-10.,2
97,,,I am visiting Seoul on 2024-11-15 and will stay until 2024-11-20. Which hotels should I consider?,2
