,Tool,API,Prompt,Type
0,calculator,calculate,What is the result of my math problem?,3
1,,,Can you help me solve this equation?,3
2,,,I need the answer to this arithmetic question.,3
3,,,What's the outcome of this mathematical expression?,3
4,,,Can you assist me in finding the solution to this problem?,3
5,,,What is the value of this operation?,3
6,,,I need help with computing this formula.,3
7,,,Can you evaluate this math equation for me?,3
8,,,I want to know the result of this calculation.,3
9,,,Can you find the solution to this mathematical issue?,3
