,Tool,API,Prompt,Type
0,public_holiday,public_holidays,Can you tell me the public holidays for the United States in 2024?,2
1,,,Are there any public holidays in Japan for the year 2024?,2
2,,,What were the public holidays in France in 2020?,2
3,,,Could you let me know the public holidays for 2023 in India?,2
4,,,Did Canada have any public holidays in the year 2021?,2
5,,,What are the public holidays in Australia for the year 2024?,2
6,,,Were there any public holidays in the United Kingdom in 2022?,2
7,,,Could you please lookup the public holidays in China for the year 2024?,2
8,,,Please tell me the public holidays in Germany for 2024.,2
9,,,Could you give me information on the public holidays in Italy for the year 2020?,2
