,tool_name,api_name,instruction,type
0,access_user_info,get_user_profile,How can I improve my English speaking skills?,1
1,access_user_info,get_user_profile,"What are some popular social activities for 20-year-olds in Shenzhen, China?",1
2,access_user_info,get_user_profile,Can you recommend a good Chinese language course in Shenzhen?,1
3,access_user_info,get_user_profile,How do I update my personal information on social media?,1
4,access_user_info,get_user_profile,What are some age-appropriate exercises for a 20-year-old man?,1
5,access_user_info,get_user_profile,"In Chinese culture, what role does age play in social interactions? ",1
6,access_user_info,get_user_profile,Which part of Shenzhen has the best nightlife scene for young people? ,1
7,access_user_info,get_user_profile,How do language barriers affect communication in multicultural cities like Shenzhen?,1
8,access_user_info,get_user_profile,Can you advise on a suitable gift for a 20-year-old Chinese man's birthday?,1
9,access_user_info,get_user_profile,What are some healthy and delicious local dishes in Shenzhen worth trying?,1
10,agent_equipments,get_current_time,Is today a legal holiday in China?,1
11,agent_equipments,get_current_time,How many time zones does China have?,1
12,agent_equipments,get_current_time,"As a foreigner, what documents do I need to stay in Shenzhen?",1
13,agent_equipments,get_current_time,What's the public transportation like in Shenzhen?,1
14,agent_equipments,get_current_time,Are there any cultural norms or etiquette I should be aware of while in China?,1
15,agent_equipments,get_current_time,Is today my birthday? (Assume my birthday is on a day that is not today),1
16,agent_equipments,get_current_time,Is Shenzhen considered a coastal city?,1
17,agent_equipments,get_current_time,What's the historical significance of today's date?,1
18,agent_equipments,get_current_time,What are some traditional events that occur in China on this date?,1
19,agent_equipments,get_current_time,What foods are Shenzhen known for?,1
20,agent_equipments,get_my_location,"What is the time difference between Shenzhen, China and New York, USA?",1
21,agent_equipments,get_my_location,"How long does it usually take to fly from Shenzhen, China to Tokyo, Japan?",1
22,agent_equipments,get_my_location,Which Chinese festivals are usually celebrated in Shenzhen in April?,1
23,agent_equipments,get_my_location,"What are some popular tourist attractions in Shenzhen, China?",1
24,agent_equipments,get_my_location,"What is the public transportation system like in Shenzhen, China?",1
25,agent_equipments,get_my_location,"How can I say ""Hello"" in the local language of Shenzhen, China?",1
26,agent_equipments,get_my_location,"What is the currency used in Shenzhen, China?",1
27,agent_equipments,get_my_location,"Are there any famous local dishes in Shenzhen, China that I should try?",1
28,agent_equipments,get_my_location,"What is the average temperature in Shenzhen, China during March?",1
29,agent_equipments,get_my_location,"Can you recommend a good restaurant near my location in Shenzhen, China?",1
30,airports,query_airports_by_name,How can I get to the closest international airport from Downtown Shenzhen?,1
31,airports,query_airports_by_name,What's the fastest way to travel between Beijing Capital International Airport and Beijing South Railway Station?,1
32,airports,query_airports_by_name,What does IATA stand for and what is its purpose?,1
33,airports,query_airports_by_name,Can you tell me about the history of Shenzhen Bao'an International Airport?,1
34,airports,query_airports_by_name,What are the public transit options from Los Angeles International Airport to Hollywood?,1
35,airports,query_airports_by_name,Are there usually traffic jams around Shenzhen Bao'an International Airport in the mornings?,1
36,airports,query_airports_by_name,What services are available for people with disabilities at airports in general?,1
37,airports,query_airports_by_name,Can you tell me when the rush hours are at Hartsfield-Jackson Atlanta International Airport?,1
38,airports,query_airports_by_name,What's the best way to spend a 10-hour layover at Tokyo Narita International Airport?,1
39,airports,query_airports_by_name,How early should I check-in for an international flight at Shanghai Pudong International Airport?,1
40,airports,get_airport_by_iata_code,What is the best time of year to visit the Singapore airport?,1
41,airports,get_airport_by_iata_code,Are there any good hotels near the Singapore airport?,1
42,airports,get_airport_by_iata_code,How can I take the bus from downtown to the Singapore airport?,1
43,airports,get_airport_by_iata_code,What's the historical cultural significance of the Sydney airport?,1
44,airports,get_airport_by_iata_code,How much time should I leave for check-in and security at the San Francisco International Airport?,1
45,airports,get_airport_by_iata_code,Which airport in North America has the most annual passengers?,1
46,airports,get_airport_by_iata_code,"What are the visa requirements for a 20-year old man from Shenzhen, China who's traveling to Heathrow, London?",1
47,airports,get_airport_by_iata_code,How much does it cost to park my car for a week at the Dubai airport?,1
48,airports,get_airport_by_iata_code,Can you recommend some local dishes that I should try when I visit the Osaka airport?,1
49,airports,get_airport_by_iata_code,What's the fastest way to get to the Paris airport from the city center?,1
50,airports,get_airport_by_icao_code,What's the best way to get from the city center to Singapore Changi Airport?,1
51,airports,get_airport_by_icao_code,Is there any restaurant in Singapore Changi Airport where I can have a good meal?,1
52,airports,get_airport_by_icao_code,What is the difference between ICAO and IATA airport codes?,1
53,airports,get_airport_by_icao_code,What are some hotels near the Singapore Changi airport?,1
54,airports,get_airport_by_icao_code,What are the recommended sights to see in Singapore if I have a long layover?,1
55,airports,get_airport_by_icao_code,What are the visa requirements for a Chinese citizen traveling to Singapore?,1
