,Tool,API,Prompt,Type
0,access_user_info,get_user_profile,How can I improve my English speaking skills?,1
1,,,"What are some popular social activities for 20-year-olds in Shenzhen, China?",1
2,,,Can you recommend a good Chinese language course in Shenzhen?,1
3,,,How do I update my personal information on social media?,1
4,,,What are some age-appropriate exercises for a 20-year-old man?,1
5,,,"In Chinese culture, what role does age play in social interactions? ",1
6,,,Which part of Shenzhen has the best nightlife scene for young people? ,1
7,,,How do language barriers affect communication in multicultural cities like Shenzhen?,1
8,,,Can you advise on a suitable gift for a 20-year-old Chinese man's birthday?,1
9,,,What are some healthy and delicious local dishes in Shenzhen worth trying?,1
