,Tool,API,Prompt,Type
0,google_api,video_search,Can you find me some videos about the latest iPhone model?,2
1,,,I need to find the top 5 videos about preparing Japanese ramen.,2
2,,,Are there any videos about the highlights of 2024 NBA's final match?,2
3,,,"I would like to find some cooking tutorials about seafood paella, can you help me with that?",2
4,,,Can you list down some recent videos about the workout plans for weight loss?,2
5,,,I'd like to know if there are any videos about coding using Python language?,2
6,,,What are the available videos about the gameplay of the newly released video game 'Cyberpunk 2077'?,2
7,,,I need to find some funny cat videos for my niece. ,2
8,,,I am interested in watching some breaking news videos from the UK. ,2
9,,,Are there any music videos of Taylor Swift's new album available online?,2
