,Tool,API,Prompt,Type
0,google_api,video_search,What are some popular video sharing platforms besides YouTube?,1
1,,,How can I download a video from the internet?,1
2,,,What are the best video formats for online streaming?,1
3,,,Is there a website that allows me to subtitle my videos for free?,1
4,,,What video editing software is recommended for beginners?,1
5,,,How can I improve video resolution without making the file size too big?,1
6,,,Which social media platforms are suitable for short video clips and stories?,1
7,,,What are the recommended video settings for uploading to different platforms?,1
8,,,Is there a way to create an animated video from a series of images?,1
9,,,How can I protect my videos from being re-uploaded by others?,1
