,did,tool_name,api_name,instruction,type,label,explain
0,0,access_user_info,get_user_profile,Can you show me my user profile?,2,2,
1,1,access_user_info,get_user_profile,Can I see what language is set on my profile?,2,2,
2,2,access_user_info,get_user_profile,What is my current location as per my profile?,2,2,
3,3,access_user_info,get_user_profile,What age is recorded in my profile?,2,2,
4,4,access_user_info,get_user_profile,Can I have a look at the personal details in my profile?,2,2,
5,5,access_user_info,get_user_profile,What's the gender information in my profile?,2,2,
6,6,access_user_info,get_user_profile,"I want to confirm, is my profile showing the correct name?",2,2,
7,7,access_user_info,get_user_profile,Can I check whether my profile reflects my current city of residence?,2,2,
8,8,access_user_info,get_user_profile,What's the information listed in my profile?,2,2,
9,9,access_user_info,get_user_profile,Can you display the data from my user profile?,2,2,
10,10,agent_equipments,get_current_time,What's the current local time and date right now?,2,1,
11,11,agent_equipments,get_current_time,What day of the week is it today?,2,1,
12,12,agent_equipments,get_current_time,"Can you tell me the exact time, date, and day of the week right now?",2,1,
13,13,agent_equipments,get_current_time,What's the current time and day today?,2,1,
14,14,agent_equipments,get_current_time,Can you provide me the current time along with today's date?,2,1,
15,15,agent_equipments,get_current_time,What is today's date and the day of the week?,2,1,
16,16,agent_equipments,get_current_time,Could you please tell me the exact local time and today's date?,2,1,
17,17,agent_equipments,get_current_time,Please let me know the current time and which day of the week it is today.,2,1,
18,18,agent_equipments,get_current_time,"Can you give me the precise local time, date, and day today?",2,1,
19,19,agent_equipments,get_current_time,What's the current time and what day is it today?,2,1,
20,20,agent_equipments,get_my_location,Where am I currently located?,2,2,
21,21,agent_equipments,get_my_location,Can you tell me my current location?,2,2,
22,22,agent_equipments,get_my_location,What is my location right now?,2,2,
23,23,agent_equipments,get_my_location,Could you help me find out my current location?,2,2,
24,24,agent_equipments,get_my_location,"I am lost, where am I?",2,2,
25,25,agent_equipments,get_my_location,What is the name of the place where I am now?,2,2,
26,26,agent_equipments,get_my_location,Can you let me know where am I situated at this moment?,2,2,
27,27,agent_equipments,get_my_location,"I need to know my present location, can you inform me?",2,2,
28,28,agent_equipments,get_my_location,Now where am I?,2,2,
29,29,agent_equipments,get_my_location,What is my pinpoint location right now?,2,2,
30,30,airports,query_airports_by_name,Can you tell me the information about Shenzhen Bao'an International Airport?,2,1,
31,31,airports,query_airports_by_name,"I need details about Hong Kong International Airport, can you lookup?",2,1,
32,32,airports,query_airports_by_name,What can you tell me about Beijing Daxing International Airport?,2,1,
33,33,airports,query_airports_by_name,I would like to know about Shanghai Pudong International Airport.,2,1,
34,34,airports,query_airports_by_name,Can you provide me with details on Chengdu Shuangliu International Airport?,2,1,
35,35,airports,query_airports_by_name,What can you tell me about Guangzhou Baiyun International Airport?,2,1,
36,36,airports,query_airports_by_name,"I need to know about Hangzhou Xiaoshan International Airport, could you please look it up for me?",2,1,
37,37,airports,query_airports_by_name,Can you check for Kunming Changshui International Airport?,2,1,
38,38,airports,query_airports_by_name,"I need information on Nanjing Lukou International Airport, could you provide?",2,1,
39,39,airports,query_airports_by_name,Can you lookup for Xi'an Xianyang International Airport?,2,1,
40,40,airports,get_airport_by_iata_code,"What is the location of airport with IATA code ""SZX""?",2,1,
41,41,airports,get_airport_by_iata_code,"Can you please tell me the ICAO code of airport with IATA code ""PEK""?",2,1,
42,42,airports,get_airport_by_iata_code,"What's the local time at the airport with IATA code ""JFK""?",2,1,
43,43,airports,get_airport_by_iata_code,"Could you provide information on the airport with IATA code ""LAX""?",2,1,
44,44,airports,get_airport_by_iata_code,"What is the name of the airport with IATA code ""DXB""?",2,1,
45,45,airports,get_airport_by_iata_code,"Can you give me the details of the airport with IATA code ""HND""?",2,1,
46,46,airports,get_airport_by_iata_code,"What city is the airport with IATA code ""AMS"" located in?",2,1,
47,47,airports,get_airport_by_iata_code,"What timezone does the airport with IATA code ""SFO"" belong to?",2,1,
48,48,airports,get_airport_by_iata_code,"What country is the airport with IATA code ""SYD"" in?",2,1,
49,49,airports,get_airport_by_iata_code,"Can you provide me the address of the airport with IATA code ""YYZ""?",2,1,
50,50,airports,get_airport_by_icao_code,"Can you find the location and local time of the airport with ICAO code ""ZGSZ""?",2,1,
51,51,airports,get_airport_by_icao_code,"What is the information of the airport with ICAO code ""VHHH""?",2,1,
52,52,airports,get_airport_by_icao_code,"I want to know the details of the airport with the ICAO code ""OMDB"".",2,1,
53,53,airports,get_airport_by_icao_code,"Tell me about the airport with ICAO code ""EGLL"" - its location and current local time.",2,1,
54,54,airports,get_airport_by_icao_code,"What can you tell me about the airport with ICAO code ""KLAX""?",2,1,
55,55,airports,get_airport_by_icao_code,"Find me the location and local time of the airport with ICAO code ""RJTT"".",2,1,
56,56,airports,get_airport_by_icao_code,"Give me the information on the airport with the ICAO code ""SCEL"".",2,1,
57,57,airports,get_airport_by_icao_code,"Can you provide details about the airport with ICAO code ""LFPG""?",2,1,
58,58,airports,get_airport_by_icao_code,"I'd like to know more about the airport with the ICAO code ""YSSY"".",2,1,
59,59,airports,get_airport_by_icao_code,"What is the location and local time of the airport with ICAO code ""CYYZ""?",2,1,
60,60,bing,web_search,Can you find some Chinese websites about NBA?,2,1,
61,61,bing,web_search,I need top 5 articles about covid-19 vaccine in English.,2,1,
62,62,bing,web_search,Could you locate recent articles about artificial intelligence development in Chinese?,2,1,
63,63,bing,web_search,Are there any articles related to the 2024 US presidential election?,2,1,
64,64,bing,web_search,Can you provide some research papers on Quantum Computing accessible on internet?,2,1,
65,65,bing,web_search,Could you find resources about learning Mandarin online for beginners in Spanish?,2,1,
66,66,bing,web_search,Are there any information about the cats commonly found in China available online in Chinese?,2,1,
