,did,tool_name,api_name,instruction,type,label,dep
0,120,currency_exchange,exchange,What's the equivalent amount in Japanese Yen for 1000 Chinese Yuan?,2,1,rapidapi/currency_exchange/listquotes
1,121,currency_exchange,exchange,"If I have 200 Euros, how much will it be in Canadian dollars?",2,1,rapidapi/currency_exchange/listquotes
2,122,currency_exchange,exchange,Can you tell me how many Australian dollars I will get for 50 United States dollars?,2,1,rapidapi/currency_exchange/listquotes
3,123,currency_exchange,exchange,"I want to know, how much British Pounds can I get for 5000 Indian Rupees?",2,1,rapidapi/currency_exchange/listquotes
4,124,currency_exchange,exchange,How much Swiss Franc will I get for 15000 Korean Won?,2,1,rapidapi/currency_exchange/listquotes
5,125,currency_exchange,exchange,"I have 750 Brazilian real, what will be its equivalent in Russian Ruble?",2,1,rapidapi/currency_exchange/listquotes
6,126,currency_exchange,exchange,What's the current exchange rate from Chinese Yuan to United States Dollars?,2,1,rapidapi/currency_exchange/listquotes
7,127,currency_exchange,exchange,How much Thai Baht can I get for 250 Singapore Dollar?,2,1,rapidapi/currency_exchange/listquotes
8,128,currency_exchange,exchange,Can you tell me the conversion from South African Rand to Mexican Peso for 500 units?,2,1,rapidapi/currency_exchange/listquotes
9,129,currency_exchange,exchange,What will be the equivalent amount in New Zealand Dollar for 4000 Hong Kong Dollar?,2,1,rapidapi/currency_exchange/listquotes
10,180,google_translate,translate,"Can you translate 'Hello, how are you?' to French for me?",2,1,rapidapi/google_translate/languages
11,181,google_translate,translate,What is 'Je t'aime' in English?,2,1,rapidapi/google_translate/languages
12,185,google_translate,translate,"I have HTML text, 'Je suis content', translate it to English please.",2,1,rapidapi/google_translate/languages
13,188,google_translate,translate,What does this Italian sentence 'Buona notte' mean in Korean?,2,1,rapidapi/google_translate/languages
14,290,news_api,search,"Are there any recent news about the COVID-19 situation in Shenzhen, China?",2,1,dev_tools/calendar/display_calendar_of_month
15,291,news_api,search,What's the latest news in the technology industry in the US?,2,1,dev_tools/calendar/display_calendar_of_month
16,292,news_api,search,Can you find some financial news in English from the past week?,2,1,dev_tools/calendar/display_calendar_of_month
17,293,news_api,search,I'm interested in the top news stories about soccer in the UK since 2024-3-20. ,2,1,dev_tools/calendar/display_calendar_of_month
18,294,news_api,search,Can you search for any environmental news articles in Australia from 2024-3-1 to 2024-3-25?,2,1,dev_tools/calendar/display_calendar_of_month
19,295,news_api,search,Are there any headlines related to the cryptocurrency market in China within the past month?,2,1,dev_tools/calendar/display_calendar_of_month
