,Tool,API,Prompt,Type
0,bing_search_apis,images_search,Can you show me some images of the Shenzhen skyline?,2
1,,,I'd like to see pictures of popular tourist attractions in Beijing.,2
2,,,Can you find some images of famous Chinese celebrities?,2
3,,,I'd like to see some beautiful landscapes and nature spots around China.,2
4,,,Can you find some images of Chinese traditional architecture?,2
5,,,I'm looking for pictures of popular street food in Shenzhen.,2
6,,,Can you show me images of traditional Chinese clothing and fashion?,2
7,,,Can you find some images of the top 10 tallest buildings in the world?,2
8,,,I'd like to see pictures of luxury hotels and resorts in Hainan.,2
9,,,"Can you find me images of animals native to China, such as pandas and golden monkeys?",2
