,fn,comb,instruction,explain,label,,,,,,,,,,,,,
0,comb1_group1.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels","I'm planning a week-long vacation in Paris, and I'm interested in hotels close to the Eiffel Tower. Could you find me family-friendly hotels with at least a 4-star rating and current prices under 350 USD per night?","Combination of APIs:
- Use API-1 to get a list of hotels near the Eiffel Tower with an option to filter by family-friendliness and a minimum 4-star rating.
- Employ API-3 to check the current pricing of these hotels to ensure they are under 350 USD per night.",1,,,,,,,,,,,,,
1,comb1_group1.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels","I'm attending a conference in New York City next month, and I would like to stay in a hotel with great business amenities. Can you provide me with options that have high reviews for their business services and are within walking distance of the Javits Center?","Combination of APIs:
- Use API-1 to search for hotels near the Javits Center, optimizing the search for business amenities.
- Apply API-4 to filter the options by those with high reviews specifically mentioning their business services.",1,,,,,,,,,,,,,
2,comb1_group1.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels","For my honeymoon, I'm looking for a luxurious and romantic hotel in Bali. I'd like it to have a spa and a private beach. Please find me the top reviewed options with these amenities.","Combination of APIs:
- Utilize API-1 to locate hotels in Bali that have a spa and a private beach.
- Use API-4 to filter for hotels that have the highest reviews mentioning luxury and romantic experiences.",1,,,,,,,,,,,,,
3,comb1_group1.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels",I'm organizing a group trip to Tokyo and need to find hotels that are suitable for groups and offer cultural experiences. Please get me a list of hotels with traditional Japanese aesthetics and are rated well for group accommodations.,"Combination of APIs:
- Invoke API-1 to compile a list of hotels in Tokyo that cater to groups and mention cultural or traditional Japanese aesthetics in their profile.
- Use API-4 to find those hotels with the highest reviews from groups who have stayed there.",1,,,,,,,,,,,,,
4,comb1_group1.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels",I've enjoyed my recent stay at a boutique hotel in Chicago and I'm looking for similar hotels in San Francisco for my next trip. The hotel should be in a vibrant neighborhood and with a high standard of service. Please suggest similar hotels with great reviews.,"Combination of APIs:
- Reference the details of the Chicago hotel you liked with API-2.
- Use API-5 to find similar hotels in San Francisco based on the characteristics of the Chicago hotel.
- Apply API-4 to ensure these recommendations have excellent service reviews, emphasizing the hotel¡¯s standard of service.",0,,,,,,,,,,,,,
5,comb1_group2.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels","Find the most affordable hotel near the Eiffel Tower in Paris, including detailed amenities and user reviews.","Steps:
   - Use API-1 to provide a list of hotels near the Eiffel Tower.
   - Use API-3 to check and compare the prices of these hotels.
   - Use API-2 to get detailed information on the amenities of the least expensive option.
   - Use API-4 to access and display a list of reviews for that hotel to ensure quality.",0,,,,,,,,,,,,,
6,comb1_group2.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels",Identify a top-rated luxury hotel in New York City with similar alternatives in case the primary option is fully booked.,"Steps:
   - Use API-1 to provide a list of luxury hotels in New York City.
   - Use API-4 to find the hotel with the best user reviews.
   - Use API-5 to provide a list of similar hotels as alternatives.
   - Use API-3 to check real-time prices for the primary and alternative hotels.",0,,,,,,,,,,,,,
7,comb1_group2.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels",Curate a list of budget-friendly hotels in downtown Tokyo that have consistently received positive reviews.,"Steps:
   - Use API-1 to provide a list of budget-friendly hotels in downtown Tokyo.
   - Use API-4 to gather review lists for each of the hotels provided.
   - Use API-3 to confirm the real-time prices to ensure they are budget-friendly.
   - Filter the results by those with a high percentage of positive reviews to finalize the curated list.",1,,,,,,,,,,,,,
8,comb1_group2.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels","Assemble a comprehensive report on a five-star hotel in Dubai, including pricing, amenities, reviews, and a list of similar hotels.","Steps:
   - Use API-1 to search for five-star hotels in Dubai.
   - Use API-2 to acquire detailed information about the hotel's amenities.
   - Use API-3 to check the current pricing for the selected hotel.
   - Use API-4 to compile the latest reviews.
   - Use API-5 to generate a list of similar hotels for comparison or alternative options.",1,,,,,,,,,,,,,
9,comb1_group2.txt,"skyscanner80/hotels_search
skyscanner80/hotels_hotel_detail
skyscanner80/hotels_prices
skyscanner80/hotels_reviews
skyscanner80/hotels_similar_hotels","Plan a romantic getaway in Venice, identifying a hotel with a view of the Grand Canal, its price trends, and alternatives with equally attractive views.","Steps:
   - Use API-1 to locate hotels with views of the Grand Canal in Venice.
   - Use API-2 to collect details on the specific views and romantic amenities of those hotels.
   - Use API-3 to analyze price trends and availability for the chosen hotels.
   - Use API-4 to read through reviews for insights into the romantic experiences of past guests.
   - Use API-5 to present a list of similar hotels that also offer views of the Grand Canal as backup options.",1,,,,,,,,,,,,,
10,comb2_group1.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","I'm interested in exploring ancient ruins on my trip to Greece. Can you provide me with a list of historical sites, detailed information about their significance, and some images to help me decide which ones to visit?","- Use API-1 to search for historical sites in Greece.
   - Use API-2 to get detailed information about each historical site's significance.
   - Use API-3 to retrieve photos of each of the ancient ruins to visualize the attractions.",0,,,,,,,,,,,,,
11,comb2_group1.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","For my upcoming trip to Paris, I¡¯d like to visit the top-rated museums. Could you give me a list of museums with the best reviews and some pictures?","- Use API-1 to search for museums in Paris.
   - Use API-4 to obtain reviews of museums and sort them by rating to find the top-rated ones.
   - Use API-3 to get photos of the highest-rated museums to aid in making a final decision.",1,,,,,,,,,,,,,
12,comb2_group1.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","I'm planning a nature-focused vacation in Canada. Can you give me information about the most popular natural landmarks, along with photos and what visitors have to say about them?","- Use API-1 to search for natural landmarks in Canada.
   - Use API-2 to get detailed information about each landmark.
   - Use API-3 to get photos of these natural landmarks.
   - Use API-4 to read reviews from visitors about these sites to gauge popularity and visitor satisfaction.",1,,,,,,,,,,,,,
13,comb2_group1.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","I'm taking a historical tour around Egypt and want a curated experience. Can you compile a list of must-see attractions, including a brief history, images, and current visitor perceptions?","- Use API-1 to search for must-see tourist attractions in Egypt.
   - Use API-2 to gather a brief history of each attraction.
   - Use API-3 to collect images of these attractions for a visual preview.
   - Use API-4 to summarize current visitor reviews to understand recent perceptions and experiences.",0,,,,,,,,,,,,,
