,Tool,API,Prompt,Type
0,recipe_by_api_ninjas,v1_recipe,Could you suggest some recipes to make Italian pasta?,2
1,,,What are some easy recipes for a Chicken Biryani?,2
2,,,I want to try out some Chinese dishes. Can you give me some recipes?,2
3,,,Can you give me the recipes to make Mexican Tacos?,2
4,,,"I want to make some desserts, can you suggest some recipes?",2
5,,,I got some fresh salmon. Can you give me some recipe suggestions?,2
6,,,"I want to make a vegan dish, can you show me some recipes?",2
7,,,Are there any recipes to make a gluten-free cake?,2
8,,,Can you suggest some recipes for a healthy breakfast meal?,2
9,,,"I'm looking for some Japanese sushi recipes, can you help me?",2
