,did,tool_name,api_name,dep,instruction,type
0,120,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,What's the equivalent amount in Japanese Yen for 1000 Chinese Yuan?,2
1,121,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,"If I have 200 Euros, how much will it be in Canadian dollars?",2
2,122,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,Can you tell me how many Australian dollars I will get for 50 United States dollars?,2
3,123,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,"I want to know, how much British Pounds can I get for 5000 Indian Rupees?",2
4,124,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,How much Swiss Franc will I get for 15000 Korean Won?,2
5,125,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,"I have 750 Brazilian real, what will be its equivalent in Russian Ruble?",2
6,126,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,What's the current exchange rate from Chinese Yuan to United States Dollars?,2
7,127,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,How much Thai Baht can I get for 250 Singapore Dollar?,2
8,128,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,Can you tell me the conversion from South African Rand to Mexican Peso for 500 units?,2
9,129,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,What will be the equivalent amount in New Zealand Dollar for 4000 Hong Kong Dollar?,2
10,180,google_translate,translate,rapidapi/google_translate/languages,"Can you translate 'Hello, how are you?' to French for me?",2
11,181,google_translate,translate,rapidapi/google_translate/languages,What is 'Je t'aime' in English?,2
12,182,google_translate,translate,rapidapi/google_translate/languages,"I have a Spanish document in plain text, how do I say 'Buenos dias' in Chinese?",2
13,183,google_translate,translate,rapidapi/google_translate/languages,"I didn't know what's the language used in '疏影橫斜水清淺，暗香浮動月黃昏', please help me translate it into English.",2
14,185,google_translate,translate,rapidapi/google_translate/languages,"I have HTML text, 'Je suis content', translate it to English please.",2
15,186,google_translate,translate,rapidapi/google_translate/languages,"I want to translate multiple text strings 'Buenos dias', 'Buenas tardes', and 'Buenas noches' into Japanese, how can I do that?",2
16,188,google_translate,translate,rapidapi/google_translate/languages,What does this Italian sentence 'Buona notte' mean in Korean?,2
17,189,google_translate,translate,rapidapi/google_translate/languages,Translate the unknown language 'Ciao mondo' into Vietnamese.,2
18,290,news_api,search,dev_tools/calendar/display_calendar_of_month,"Are there any recent news about the COVID-19 situation in Shenzhen, China?",2
19,291,news_api,search,dev_tools/calendar/display_calendar_of_month,What's the latest news in the technology industry in the US?,2
20,292,news_api,search,dev_tools/calendar/display_calendar_of_month,Can you find some financial news in English from the past week?,2
21,293,news_api,search,dev_tools/calendar/display_calendar_of_month,I'm interested in the top news stories about soccer in the UK since 2024-3-20. ,2
22,294,news_api,search,dev_tools/calendar/display_calendar_of_month,Can you search for any environmental news articles in Australia from 2024-3-1 to 2024-3-25?,2
23,295,news_api,search,dev_tools/calendar/display_calendar_of_month,Are there any headlines related to the cryptocurrency market in China within the past month?,2
24,296,news_api,search,dev_tools/calendar/display_calendar_of_month,How is the entertainment industry in Japan doing? Can you find some recent trending news?,2
25,297,news_api,search,dev_tools/calendar/display_calendar_of_month,Show me the major political news in Hong Kong from 2024-3-10 to 2024-3-25 sorted by popularity.,2
26,298,news_api,search,dev_tools/calendar/display_calendar_of_month,I'm looking for health news articles published in French language newspapers from France within the last week.,2
27,299,news_api,search,dev_tools/calendar/display_calendar_of_month,Can you find some science and technology news stories from Indian publishers in the past month?,2
28,380,skyscanner80,flights_search_one_way,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month",I'm planning to fly from Beijing to Shenzhen on 2024-7-3. Can you find me a one-way flight?,2
29,381,skyscanner80,flights_search_one_way,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month",Can you help me search for a one-way flight from New York City to London departing on 2024-8-7 for 2 adults and 1 child?,2
30,382,skyscanner80,flights_search_one_way,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month","I'm looking for a one-way flight from Sydney, Australia to Paris, France, with the departure date set for 16 Sep, 2024. Can you assist me?",2
31,383,skyscanner80,flights_search_one_way,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month",I am traveling alone from Shanghai to Tokyo and will depart on Oct. 6 2024. Can I know the available flights?,2
