,source,tool_name,api_name,dependencies,comment,,,,,,,,,,,,
1,rapidapi,weatherapi_com,realtime_weather_api,,,,,,,,,,,,,,
1,rapidapi,weatherapi_com,realtime_weather_api,dev_tools/access_user_info/get_user_profile,,,,,,,,,,,,,
2,rapidapi,weatherapi_com,forecast_weather_api,,,,,,,,,,,,,,
2,rapidapi,weatherapi_com,forecast_weather_api,dev_tools/access_user_info/get_user_profile,,,,,,,,,,,,,
,rapidapi,weatherapi_com,forecast_weather_api,dev_tools/agent_equipments/get_current_time,,,,,,,,,,,,,
,rapidapi,weatherapi_com,forecast_weather_api,"rapidapi/world_time_by_api_ninjas/v1_worldtime
dev_tools/access_user_info/get_user_profile",,,,,,,,,,,,,
3,rapidapi,weatherapi_com,ip_lookup_api,,,,,,,,,,,,,,
4,rapidapi,weatherapi_com,time_zone_api,,,,,,,,,,,,,,
5,rapidapi,weatherapi_com,astronomy_api,,,,,,,,,,,,,,
5,rapidapi,weatherapi_com,astronomy_api,dev_tools/access_user_info/get_user_profile,,,,,,,,,,,,,
6,rapidapi,weatherapi_com,search_autocomplete_api,,,,,,,,,,,,,,
7,rapidapi,news_api,top_headlines,,,,,,,,,,,,,,
8,rapidapi,news_api,search,,,,,,,,,,,,,,
,rapidapi,news_api,search,dev_tools/calendar/days_of_month,,,,,,,,,,,,,
,rapidapi,news_api,search,"dev_tools/calendar/display_calendar_of_month",,,,,,,,,,,,,
9,rapidapi,public_holiday,public_holidays,,,,,,,,,,,,,,
10,dev_tools,calendar,days_of_month,,,,,,,,,,,,,,
11,dev_tools,calendar,display_calendar_of_month,,,,,,,,,,,,,,
12,rapidapi,recipe_by_api_ninjas,v1_recipe,,,,,,,,,,,,,,
13,rapidapi,objects_detection,objects_detection,,,,,,,,,,,,,,
14,rapidapi,ocr_extract_text,extract_text_from_image_url,,,,,,,,,,,,,,
15,rapidapi,ocr_extract_text,extract_text_from_image_file,,,,,,,,,,,,,,
16,dev_tools,image_translation,image_translation,,,,,,,,,,,,,,
17,dev_tools,image_processing,compress_image,,,,,,,,,,,,,,
18,dev_tools,image_processing,resize_image,,,,,,,,,,,,,,
19,dev_tools,image_processing,convert_format,,,,,,,,,,,,,,
20,dev_tools,image_remove_bg,remove_bg,,,,,,,,,,,,,,
21,rapidapi,web_capture,take_image_screenshot,,,,,,,,,,,,,,
22,rapidapi,onecompiler_apis,execute_code,,,,,,,,,,,,,,
23,rapidapi,bing,web_search,,,,,,,,,,,,,,
24,rapidapi,bing_search_apis,images_search,,,,,,,,,,,,,,
25,rapidapi,google_api,video_search,,,,,,,,,,,,,,
26,rapidapi,skyscanner80,get_config,,not for user,,,,,,,,,,,,
27,rapidapi,skyscanner80,flights_auto_complete,,not for user,,,,,,,,,,,,
28,rapidapi,skyscanner80,flights_search_one_way,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config",,,,,,,,,,,,,
,rapidapi,skyscanner80,flights_search_one_way,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/agent_equipments/get_current_time",,,,,,,,,,,,,
,rapidapi,skyscanner80,flights_search_one_way,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month",,,,,,,,,,,,,
29,rapidapi,skyscanner80,flights_search_roundtrip,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config",,,,,,,,,,,,,
,rapidapi,skyscanner80,flights_search_roundtrip,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/agent_equipments/get_current_time",,,,,,,,,,,,,
,rapidapi,skyscanner80,flights_search_roundtrip,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month",,,,,,,,,,,,,
30,rapidapi,skyscanner80,flights_search_everywhere,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config",,,,,,,,,,,,,
31,rapidapi,skyscanner80,flights_search_incomplete,,not for user,,,,,,,,,,,,
32,rapidapi,skyscanner80,flights_flight_detail,"result of 
rapidapi/skyscanner80/flights_search_one_way
or
rapidapi/skyscanner80/flights_search_roundtrip",not for low-level instruction,,,,,,,,,,,,
33,rapidapi,skyscanner80,flights_price_calendar,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config",,,,,,,,,,,,,
34,rapidapi,skyscanner80,hotels_hotel_auto_complete,,,,,,,,,,,,,,
35,rapidapi,skyscanner80,hotels_search,"rapidapi/skyscanner80/hotels_hotel_auto_complete
rapidapi/skyscanner80/get_config",,,,,,,,,,,,,
36,rapidapi,skyscanner80,hotels_hotel_detail,"rely on the results of 
rapidapi/skyscanner80/hotels_search",not for low-level instruction,,,,,,,,,,,,
