,Tool,API,Prompt,Type
0,image_translation,image_translation,"I have an image with Japanese text, is Japanese a difficult language to learn?",1
1,,,Can you give me some tips for learning Chinese characters more effectively?,1
2,,,How long does it usually take to become fluent in French for an English speaker?,1
3,,,"In Shenzhen, China, which foreign language would be most useful for job opportunities?",1
4,,,How many languages are typically spoken in Europe?,1
5,,,Do native speakers of English and Spanish find it easier to learn Italian?,1
6,,,Which language uses the Cyrillic alphabet?,1
7,,,Is it better to learn the traditional or simplified version of Chinese characters first?,1
8,,,What are some popular language learning apps or websites?,1
9,,,What's the best method for retaining vocabulary when learning a new language?,1
