,Tool,API,Prompt,Type
0,bing,web_search,Can you find some Chinese websites about NBA?,2
1,,,I need top 5 articles about covid-19 vaccine in English.,2
2,,,Could you locate recent articles about artificial intelligence development in Chinese?,2
3,,,Are there any articles related to the 2024 US presidential election?,2
4,,,Can you provide some research papers on Quantum Computing accessible on internet?,2
5,,,Could you find resources about learning Mandarin online for beginners in Spanish?,2
6,,,Are there any information about the cats commonly found in China available online in Chinese?,2
7,,,"I'd like to get a list of English blog articles about vegetarian recipes, can you find it?",2
8,,,Can you find some popular online forums about game development in English?,2
9,,,Could you find online resources teaching Italian cooking techniques in Italian?,2
