,did,tool_name,api_name,instruction,type,label,dep
0,120,currency_exchange,exchange,How much do I get for 100 USD in another currency?,3,1,rapidapi/currency_exchange/listquotes
1,121,currency_exchange,exchange,What's the exchange rate from Euro to another currency?,3,1,rapidapi/currency_exchange/listquotes
2,122,currency_exchange,exchange,"I want to exchange my British Pounds, what's the rate?",3,1,rapidapi/currency_exchange/listquotes
3,126,currency_exchange,exchange,Can you tell me the current exchange rate?,3,1,rapidapi/currency_exchange/listquotes
4,128,currency_exchange,exchange,I want to understand how much I get when I exchange money. ,3,1,rapidapi/currency_exchange/listquotes
5,290,news_api,search,Tell me about the current news in Shenzhen.,3,1,dev_tools/calendar/display_calendar_of_month
6,292,news_api,search,What are the recent news articles from the US?,3,1,dev_tools/calendar/display_calendar_of_month
7,294,news_api,search,Can I get the top news in English?,3,1,dev_tools/calendar/display_calendar_of_month
8,298,news_api,search,What were the major news events between 2024-03-01 and 2024-03-20?,3,1,dev_tools/calendar/display_calendar_of_month
9,381,skyscanner80,flights_search_one_way,Can you give me some suggestions on the one-way flights from Beijing tomorrow?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
10,382,skyscanner80,flights_search_one_way,I want to know the one-way flights from New York on 2024-06-01.,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
11,384,skyscanner80,flights_search_one_way,Could you please provide me with some choices of one-way flights to Orlando?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
12,385,skyscanner80,flights_search_one_way,I'm planning to go to London. Any advice on one-way flights?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
13,387,skyscanner80,flights_search_one_way,I want to leave the city around this year's national day. Can you help to find some one-way flights?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
14,388,skyscanner80,flights_search_one_way,Is there any recommended one-way flight on 2024-06-01?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
15,389,skyscanner80,flights_search_one_way,Could you help me to look up some one-way flights?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
16,390,skyscanner80,flights_search_roundtrip,Can you find me a round trip flight from Shenzhen?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
17,391,skyscanner80,flights_search_roundtrip,"I want to book a round trip flight to Tokyo, can you help me with that?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
18,392,skyscanner80,flights_search_roundtrip,"Can you show me round trip flights leaving on May 10th, 2024?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
19,393,skyscanner80,flights_search_roundtrip,"I'd like to return on May 20th, 2024. Can you find me a round trip flight?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
20,394,skyscanner80,flights_search_roundtrip,Can you help me find round trip flights from Shenzhen to Bangkok?,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
21,395,skyscanner80,flights_search_roundtrip,"I want to fly from Shenzhen on August 15th, 2024. Can you find me a round trip flight?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
22,396,skyscanner80,flights_search_roundtrip,"I need to fly from Shenzhen and come back on September 10th, 2024. Can you help?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
23,397,skyscanner80,flights_search_roundtrip,"I'd like to fly to London on October 1st, 2024. Can you find me a round trip flight?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
24,398,skyscanner80,flights_search_roundtrip,"Can you find me a round trip flight to Sydney that returns on December 1st, 2024?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
25,399,skyscanner80,flights_search_roundtrip,"Can you book me a round trip flight between April 1st, 2024, and April 15th, 2024?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/flights_search_incomplete
rapidapi/skyscanner80/get_config
dev_tools/calendar/days_of_month"
26,404,skyscanner80,flights_search_everywhere,"What destinations are available for flights departing on October 1st, 2024?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config"
27,405,skyscanner80,flights_search_everywhere,"Show me flight options for May 20th, 2024.",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config"
28,407,skyscanner80,flights_search_everywhere,"I want to go on a trip, but I'm not sure where. Please suggest some flights.",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config"
29,408,skyscanner80,flights_search_everywhere,Show me flights for my next vacation.,3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config"
30,409,skyscanner80,flights_search_everywhere,"I'm looking for flight ideas, can you help me?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config"
31,427,skyscanner80,flights_flight_detail,I would like to know more about my flight.,3,1,"result of 
rapidapi/skyscanner80/flights_search_one_way
or
rapidapi/skyscanner80/flights_search_roundtrip"
32,430,skyscanner80,flights_price_calendar,"I'm planning a trip from New York to London, when should I book my flights?",3,1,"rapidapi/skyscanner80/flights_auto_complete
rapidapi/skyscanner80/get_config"
